Criterion;Evaluator;E1-A1;E1-A2;E1-A3;E1-A4;E1-A5;E1-A6;E1-A7;E1-A8;E1-A9;E1-A10;;;;;;;;;;;EV3-A1;EV3-A2;EV3-A3;EV3-A4;EV3-A5;EV3-A6;EV3-A7;EV3-A8;EV3-A9;EV3-A10
C1;E1;;B2;A3;D2;A3;A2;A3;H2;1;A4;;;;;;;;;;;;;;;;;;;;
C1;E1;;;B2;D2;B2;B2;B3;1;B2;B3;;;;;;;;;;;;;;;;;;;;
C1;E1;;;;D4;E3;F3;G2;H4;I3;C2;;;;;;;;;;;;;;;;;;;;
C1;E1;;;;;D2;D3;D4;D2;D2;D5;;;;;;;;;;;;;;;;;;;;
C1;E1;;;;;;E2;E3;H2;1;E4;;;;;;;;;;;;;;;;;;;;
C1;E1;;;;;;;F2;H2;I2;F3;;;;;;;;;;;;;;;;;;;;
C1;E1;;;;;;;;H3;I3;G2;;;;;;;;;;;;;;;;;;;;
C1;E1;;;;;;;;;H2;L4;;;;;;;;;;;;;;;;;;;;
C1;E1;;;;;;;;;;I4;;;;;;;;;;;;;;;;;;;;
C1;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C2;E1;;A3;A4;A3;A2;A2;A4;A3;A3;A3;;;;;;;;;;;;;;;;;;;;
C2;E1;;;B4;1;E3;B2;B2;B2;B2;B3;;;;;;;;;;;;;;;;;;;;
C2;E1;;;;D4;E4;F4;G4;H4;I5;L4;;;;;;;;;;;;;;;;;;;;
C2;E1;;;;;1;1;D2;D3;D4;D4;;;;;;;;;;;;;;;;;;;;
C2;E1;;;;;;E3;E3;E4;E4;E3;;;;;;;;;;;;;;;;;;;;
C2;E1;;;;;;;F2;F3;F3;F2;;;;;;;;;;;;;;;;;;;;
C2;E1;;;;;;;;G2;G2;1;;;;;;;;;;;;;;;;;;;;
C2;E1;;;;;;;;;1;L2;;;;;;;;;;;;;;;;;;;;
C2;E1;;;;;;;;;;L2;;;;;;;;;;;;;;;;;;;;
C2;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C3;E1;;B2;A3;D4;E2;A2;A3;A3;I3;A3;;;;;;;;;;;;;;;;;;;;
C3;E1;;;B2;D2;1;B2;B2;B3;I2;B3;;;;;;;;;;;;;;;;;;;;
C3;E1;;;;D5;E3;F3;G2;H2;I4;1;;;;;;;;;;;;;;;;;;;;
C3;E1;;;;;D3;D3;D4;D4;1;D5;;;;;;;;;;;;;;;;;;;;
C3;E1;;;;;;E2;E2;E3;I2;E3;;;;;;;;;;;;;;;;;;;;
C3;E1;;;;;;;F2;F2;I3;F3;;;;;;;;;;;;;;;;;;;;
C3;E1;;;;;;;;1;I4;G2;;;;;;;;;;;;;;;;;;;;
C3;E1;;;;;;;;;I4;H2;;;;;;;;;;;;;;;;;;;;
C3;E1;;;;;;;;;;I5;;;;;;;;;;;;;;;;;;;;
C3;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C4;E1;;A2;A3;1;E2;F2;A2;A3;A2;A3;;;;;;;;;;;;;;;;;;;;
C4;E1;;;B3;D2;E2;F3;1;B3;B3;B2;;;;;;;;;;;;;;;;;;;;
C4;E1;;;;D3;E2;F4;G3;C2;1;L2;;;;;;;;;;;;;;;;;;;;
C4;E1;;;;;1;F2;D2;D4;D3;D4;;;;;;;;;;;;;;;;;;;;
C4;E1;;;;;;1;E2;E3;E2;E2;;;;;;;;;;;;;;;;;;;;
C4;E1;;;;;;;F3;F5;F4;F3;;;;;;;;;;;;;;;;;;;;
C4;E1;;;;;;;;G4;G3;G2;;;;;;;;;;;;;;;;;;;;
C4;E1;;;;;;;;;I2;L3;;;;;;;;;;;;;;;;;;;;
C4;E1;;;;;;;;;;L2;;;;;;;;;;;;;;;;;;;;
C5;E1;;A2;A3;1;A2;A2;A3;A2;A2;A3;;;;;;;;;;;;;;;;;;;;
C5;E1;;;B3;D2;1;B2;B2;1;1;B2;;;;;;;;;;;;;;;;;;;;
C5;E1;;;;D5;E3;F3;G2;H3;I3;L2;;;;;;;;;;;;;;;;;;;;
C5;E1;;;;;D2;D2;D3;D2;D4;D3;;;;;;;;;;;;;;;;;;;;
C5;E1;;;;;;E2;E3;E2;1;E3;;;;;;;;;;;;;;;;;;;;
C5;E1;;;;;;;F2;1;I2;F2;;;;;;;;;;;;;;;;;;;;
C5;E1;;;;;;;;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C5;E1;;;;;;;;;I2;H2;;;;;;;;;;;;;;;;;;;;
C5;E1;;;;;;;;;;I2;;;;;;;;;;;;;;;;;;;;
C5;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C6;E1;;1;A3;1;A2;A2;A3;H2;A2;1;;;;;;;;;;;;;;;;;;;;
C6;E1;;;B3;1;B2;B2;B2;1;1;B2;;;;;;;;;;;;;;;;;;;;
C6;E1;;;;D3;E3;F3;G2;H4;I3;L3;;;;;;;;;;;;;;;;;;;;
C6;E1;;;;;D2;D2;D3;H2;D2;1;;;;;;;;;;;;;;;;;;;;
C6;E1;;;;;;1;E2;H2;1;L2;;;;;;;;;;;;;;;;;;;;
C6;E1;;;;;;;F2;H2;1;L2;;;;;;;;;;;;;;;;;;;;
C6;E1;;;;;;;;H3;I2;L3;;;;;;;;;;;;;;;;;;;;
C6;E1;;;;;;;;;H2;H2;;;;;;;;;;;;;;;;;;;;
C6;E1;;;;;;;;;;L2;;;;;;;;;;;;;;;;;;;;
C6;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C7;E1;;1;A3;D2;E2;A2;A2;A3;A3;A3;;;;;;;;;;;;;;;;;;;;
C7;E1;;;B3;D2;E3;1;1;B3;B2;B2;;;;;;;;;;;;;;;;;;;;
C7;E1;;;;D3;E4;F2;G2;1;1;1;;;;;;;;;;;;;;;;;;;;
C7;E1;;;;;E2;D2;D3;D3;D3;D3;;;;;;;;;;;;;;;;;;;;
C7;E1;;;;;;E3;E4;E4;E5;E4;;;;;;;;;;;;;;;;;;;;
C7;E1;;;;;;;F2;F2;F2;F2;;;;;;;;;;;;;;;;;;;;
C7;E1;;;;;;;;G2;G2;G2;;;;;;;;;;;;;;;;;;;;
C7;E1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;
C7;E1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
C7;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C8;E1;;B2;A2;D3;1;A2;A6;A2;A2;A3;;;;;;;;;;;;;;;;;;;;
C8;E1;;;B2;D3;1;B2;B6;B2;1;B2;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;D3;E2;1;C6;1;C2;C2;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;D3;D3;D6;D3;D4;D4;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;E2;E6;E2;E2;E2;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;F6;1;F2;F3;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;;H6;I6;L6;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;;;H2;H3;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;;;;I2;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C9;E1;;B2;C2;D2;E2;F2;A2;H3;A3;A3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;B2;D2;B2;1;B3;H2;B2;B2;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;D2;1;F2;C3;H2;C4;C3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;D2;1;D3;H2;D4;D3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;F2;E3;H2;E3;E3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;F3;H2;F4;F3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;;H4;G2;1;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;;;H4;H3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;;;;L2;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10;E1;;1;A3;1;1;A2;A3;H2;1;A4;;;;;;;;;;;;;;;;;;;;
C10;E1;;;B3;1;1;B2;B3;H2;1;B3;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;D3;E2;F3;G2;H3;I2;C2;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;1;D2;D2;H2;1;D3;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;;E2;E2;H2;1;E3;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;;;F2;H2;I2;F3;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;;;;H3;I2;G2;;;;;;;;;;;;;;;;;;;;
