Valutazione;;;;;EVALUATOR 1 ;;;;;;;;;;;;EVALUATOR 2 ;;;;;;;;;;;;EVALUATOR 3;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partecipanti;_ Confronto;;;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;B2;A3;D2;A3;A2;A3;H2;1;A4;;A;;1;A4;1;1;1;1;1;1;A2;;A;;B3;A3;D3;E2;F3;A5;H2;I2;A3
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B2;D2;B2;B2;B3;1;B2;B3;;B;;;B2;D2;1;1;B3;1;I2;B3;;B;;;B3;D2;1;1;B3;1;1;B5
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D4;E3;F3;G2;H4;I3;C2;;C;;;;D4;E4;F3;G3;H3;I3;L2;;C;;;;D5;E3;F3;1;H3;I3;1
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;D2;D3;D4;D2;D2;D5;;D;;;;;D2;1;D3;D2;1;D3;;D;;;;;D2;D2;D3;D2;D2;D5
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;E2;E3;H2;1;E4;;E;;;;;;1;E2;1;I2;E2;;E;;;;;;1;E5;1;1;E5
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F2;H2;I2;F3;;F;;;;;;;F2;1;I2;F2;;F;;;;;;;F5;1;F2;F5
G;#ÁREF!;#ÁREF!;7;#ÁREF!;G;;;;;;;;H3;I3;G2;;G;;;;;;;;H2;I3;G2;;G;;;;;;;;H5;I4;1
H;#ÁREF!;#ÁREF!;8;#ÁREF!;H;;;;;;;;;H2;L4;;H;;;;;;;;;I2;H3;;H;;;;;;;;;1;H5
I;#ÁREF!;#ÁREF!;9;#ÁREF!;I;;;;;;;;;;I4;;I;;;;;;;;;;I3;;I;;;;;;;;;;I5
L;#ÁREF!;#ÁREF!;10;#ÁREF!;L;;;;;;;;;;;;L;;;;;;;;;;;;L;;;;;;;;;;
Partecipanti;_ Confronto;;;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;A3;A4;A3;A2;A2;A4;A3;A3;A3;;A;;A3;A5;A3;A2;A2;A3;A2;A3;A3;;A;;A2;A5;1;1;A2;A4;A3;A5;A5
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B4;1;E3;B2;B2;B2;B2;B3;;B;;;B3;D3;E3;F2;B2;H3;I2;1;;B;;;B4;D2;E2;1;B3;B2;B4;B4
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D4;E4;F4;G4;H4;I5;L4;;C;;;;D4;E4;F3;G3;H4;I3;L2;;C;;;;D5;E5;F4;G2;H3;1;1
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;1;1;D2;D3;D4;D4;;D;;;;;1;D2;D2;1;D2;D3;;D;;;;;1;D2;D4;D3;D5;D5
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;E3;E3;E4;E4;E3;;E;;;;;;E2;E2;1;E2;E3;;E;;;;;;E2;E4;E3;E5;E5
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F2;F3;F3;F2;;F;;;;;;;1;H2;1;F2;;F;;;;;;;F3;F2;F4;F4
G;#ÁREF!;#ÁREF!;7;#ÁREF!;G;;;;;;;;G2;G2;1;;G;;;;;;;;H2;1;G2;;G;;;;;;;;H2;G2;G2
H;#ÁREF!;#ÁREF!;8;#ÁREF!;H;;;;;;;;;1;L2;;H;;;;;;;;;H2;H3;;H;;;;;;;;;H3;H3
I;#ÁREF!;#ÁREF!;9;#ÁREF!;I;;;;;;;;;;L2;;I;;;;;;;;;;I2;;I;;;;;;;;;;1
L;#ÁREF!;#ÁREF!;10;#ÁREF!;L;;;;;;;;;;;;L;;;;;;;;;;;;L;;;;;;;;;;
Partecipanti;_ Confronto;;;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;B2;A3;D4;E2;A2;A3;A3;I3;A3;;A;;1;A2;1;E2;F2;1;1;1;A3;;A;;B3;C2;D4;A2;F4;A2;A2;I3;A2
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B2;D2;1;B2;B2;B3;I2;B3;;B;;;C2;1;1;F2;G2;B2;I2;B2;;B;;;B2;D2;B4;F2;B4;B4;1;L4
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D5;E3;F3;G2;H2;I4;1;;C;;;;D4;1;F2;G2;C3;I2;1;;C;;;;D3;C3;F3;C3;H3;I2;L3
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;D3;D3;D4;D4;1;D5;;D;;;;;D2;F2;1;D3;1;D2;;D;;;;;D5;1;D5;D5;1;D5
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;E2;E2;E3;I2;E3;;E;;;;;;F2;G2;E3;I2;E2;;E;;;;;;F5;1;1;I4;1
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F2;F2;I3;F3;;F;;;;;;;1;F2;1;F3;;F;;;;;;;F5;F5;F2;F5
G;#ÁREF!;#ÁREF!;7;#ÁREF!;G;;;;;;;;1;I4;G2;;G;;;;;;;;G2;1;G3;;G;;;;;;;;1;I4;1
H;#ÁREF!;#ÁREF!;8;#ÁREF!;H;;;;;;;;;I4;H2;;H;;;;;;;;;1;H2;;H;;;;;;;;;I4;1
I;#ÁREF!;#ÁREF!;9;#ÁREF!;I;;;;;;;;;;I5;;I;;;;;;;;;;I2;;I;;;;;;;;;;I4
L;#ÁREF!;#ÁREF!;10;#ÁREF!;L;;;;;;;;;;;;L;;;;;;;;;;;;L;;;;;;;;;;
Partecipanti;_ Confronto;;;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;A2;A3;1;E2;F2;A2;A3;A2;A3;;A;;1;A3;A2;A2;1;1;A2;1;A3;;A;;A3;A2;1;A2;1;1;A4;1;A5
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B3;D2;E2;F3;1;B3;B3;B2;;B;;;C2;B2;1;F2;G2;B2;I3;B3;;B;;;C2;D3;E2;F3;G3;B2;I3;B3
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D3;E2;F4;G3;C2;1;L2;;C;;;;D2;1;F2;G2;C3;I2;1;;C;;;;D2;1;F2;G2;C3;I2;C4
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;1;F2;D2;D4;D3;D4;;D;;;;;D2;1;1;D2;1;D3;;D;;;;;D2;1;1;D4;1;D5
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;1;E2;E3;E2;E2;;E;;;;;;F2;G2;E3;I2;E3;;E;;;;;;F2;G2;E3;I2;E4
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F3;F5;F4;F3;;F;;;;;;;1;F3;1;F3;;F;;;;;;;1;F4;1;F5
